,thumb-md (59).jpg,thumb-md - 2021-09-08T141901.932.jpg,thumb-md (18).jpg,thumb-md - 2021-09-08T141856.476.jpg,thumb-md (34).jpg,thumb-md (63).jpg,thumb-md (75).jpg,thumb-md (22).jpg,thumb-md (8).jpg,thumb-md - 2021-09-08T141902.210.jpg,thumb-md (55).jpg,thumb-md - 2021-09-08T141858.146.jpg,thumb-md (14).jpg,thumb-md (43).jpg,thumb-md (38).jpg,thumb-md (80).jpg,thumb-md - 2021-09-08T141858.594.jpg,thumb-md (96).jpg,thumb-md (79).jpg,thumb-md (4).jpg,thumb-md - 2021-09-08T141859.422.jpg,thumb-md (5).jpg,thumb-md (97).jpg,thumb-md (78).jpg,thumb-md (81).jpg,thumb-md (39).jpg,thumb-md (100).jpg,thumb-md (42).jpg,thumb-md (15).jpg,thumb-md (54).jpg,thumb-md (23).jpg,thumb-md (9).jpg,thumb-md (74).jpg,thumb-md - 2021-09-08T141744.720.jpg,thumb-md - 2021-09-08T141859.192.jpg,thumb-md (62).jpg,thumb-md (35).jpg,thumb-md - 2021-09-08T141857.477.jpg,thumb-md (19).jpg,thumb-md - 2021-09-08T141903.210.jpg,thumb-md (58).jpg,thumb-md (53).jpg,thumb-md (12).jpg,thumb-md - 2021-09-08T141901.004.jpg,thumb-md (45).jpg,thumb-md (86).jpg,thumb-md (69).jpg,thumb-md (90).jpg,thumb-md (28).jpg,thumb-md (2).jpg,thumb-md - 2021-09-08T141855.851.jpg,thumb-md - 2021-09-08T141900.228.jpg,thumb-md - 2021-09-08T141902.311.jpg,thumb-md (49).jpg,thumb-md - 2021-09-08T141858.939.jpg,thumb-md (32).jpg,thumb-md.jpg,thumb-md (65).jpg,thumb-md - 2021-09-08T141857.837.jpg,thumb-md (73).jpg,thumb-md (24).jpg,thumb-md - 2021-09-08T141856.956.jpg,thumb-md (25).jpg,thumb-md (72).jpg,thumb-md (64).jpg,thumb-md (33).jpg,thumb-md (48).jpg,thumb-md (29).jpg,thumb-md (3).jpg,thumb-md - 2021-09-08T141856.028.jpg,thumb-md (91).jpg,thumb-md (87).jpg,thumb-md (68).jpg,thumb-md (44).jpg,thumb-md (13).jpg,thumb-md - 2021-09-08T141901.606.jpg,thumb-md (52).jpg,thumb-md - 2021-09-08T141856.756.jpg,thumb-md (92).jpg,thumb-md (84).jpg,thumb-md (47).jpg,thumb-md (10).jpg,thumb-md (51).jpg,thumb-md (26).jpg,thumb-md (71).jpg,thumb-md (67).jpg,thumb-md (88).jpg,thumb-md (30).jpg,thumb-md - 2021-09-08T141859.712.jpg,thumb-md - 2021-09-08T141744.771.jpg,thumb-md - 2021-09-08T141858.459.jpg,thumb-md - 2021-09-08T141903.287.jpg,thumb-md - 2021-09-08T141857.609.jpg,thumb-md (31).jpg,thumb-md (66).jpg,thumb-md (89).jpg,thumb-md (70).jpg,thumb-md (27).jpg,thumb-md - 2021-09-08T141903.053.jpg,thumb-md - 2021-09-08T141855.651.jpg,thumb-md - 2021-09-08T141902.530.jpg,thumb-md (50).jpg,thumb-md (11).jpg,thumb-md - 2021-09-08T141859.932.jpg,thumb-md (46).jpg,thumb-md (85).jpg,thumb-md - 2021-09-08T141902.096.jpg,thumb-md (93).jpg,thumb-md (1).jpg,thumb-md (20).jpg,thumb-md (77).jpg,thumb-md (98).jpg,thumb-md (61).jpg,thumb-md (36).jpg,thumb-md - 2021-09-08T141855.542.jpg,thumb-md - 2021-09-08T141856.293.jpg,thumb-md (6).jpg,thumb-md (94).jpg,thumb-md (82).jpg,thumb-md - 2021-09-08T141901.247.jpg,thumb-md - 2021-09-08T141900.727.jpg,thumb-md (41).jpg,thumb-md - 2021-09-08T141744.666.jpg,thumb-md - 2021-09-08T141903.419.jpg,thumb-md (16).jpg,thumb-md - 2021-09-08T141857.256.jpg,thumb-md (57).jpg,thumb-md (56).jpg,thumb-md (17).jpg,thumb-md (40).jpg,thumb-md (83).jpg,thumb-md - 2021-09-08T141903.346.jpg,thumb-md - 2021-09-08T141900.440.jpg,thumb-md (95).jpg,thumb-md (7).jpg,thumb-md (37).jpg,thumb-md - 2021-09-08T141855.590.jpg,thumb-md (60).jpg,thumb-md (76).jpg,thumb-md (99).jpg,thumb-md (21).jpg
thumb-md - 2021-09-08T141744.720.jpg,0.86497694,0.51330584,0.67861104,0.5486584,0.77669823,0.9204995,0.695223,0.6684228,0.6330298,0.5467563,0.87172776,0.6682197,0.71351993,0.69401085,0.8817829,0.72808886,0.60561395,0.7473944,0.7934864,0.48652285,0.5589779,0.6327667,0.70419556,0.93774915,0.7925414,0.48383594,0.82657,0.6140431,0.46528608,0.9646014,0.56079775,0.654293,0.9852266,0.99999964,0.63375396,0.9112853,0.6867952,0.68712467,0.5400248,0.5537032,0.71405715,0.9810862,0.5778999,0.5748534,0.8896252,0.7631694,0.97949517,0.85933447,0.48818135,0.523495,0.6384047,0.6327933,0.5833045,0.41659293,0.7129205,0.7085225,0.54978806,0.6664036,0.6377164,0.81257105,0.55736274,0.6237503,0.62321806,0.6635275,0.73422706,0.71696234,0.6561158,0.5262156,0.5825158,0.5282356,0.7276339,0.8937528,0.69236976,0.7804969,0.5422746,0.718486,0.60352033,0.50076026,0.96243745,0.9084895,0.8768488,0.5815519,0.81996596,0.6296513,0.7773065,0.97002417,0.75720304,0.46941292,0.61750215,0.87812483,0.8525289,0.596331,0.61674875,0.6370816,0.74491423,0.5509451,0.92492145,0.5210411,0.57549393,0.6681482,0.7363522,0.87518203,0.5787508,0.7395803,0.6260146,0.6457898,0.70644087,0.7971364,0.53103805,0.6364419,0.70490664,0.9248897,0.98311704,0.9035728,0.5090654,0.70031154,0.6485497,0.6433643,0.94477797,0.6398782,0.57189023,0.80955243,0.84558094,0.5678427,0.60674435,0.6888773,0.93483746,0.82582957,0.57421374,0.91361666,0.85592014,0.593719,0.75477463,0.9117122,0.6511986,0.59281707,0.5957928,0.74639153,0.7104171,0.5480206,0.4884352
thumb-md - 2021-09-08T141859.192.jpg,0.6269743,0.8359228,0.4385598,0.889377,0.6250863,0.5582936,0.84643626,0.4231243,0.44885898,0.81591016,0.69917697,0.8913124,0.4478052,0.71018183,0.60312086,0.7293904,0.9328621,0.65415734,0.7436692,0.6015119,0.81479275,0.55930215,0.66437805,0.5282188,0.7387358,0.63115263,0.6969982,0.6716825,0.5860729,0.62664425,0.4203687,0.44413462,0.59729445,0.63375396,1.0,0.61688936,0.73184985,0.90223163,0.5478771,0.86921865,0.7295723,0.6129809,0.44715965,0.75870174,0.5271856,0.77254707,0.5992262,0.6249695,0.5182272,0.68154883,0.67140746,0.6898376,0.87114626,0.68223745,0.9765451,0.46381757,0.5634374,0.70858043,0.66910976,0.7160673,0.41093388,0.6027564,0.41358796,0.8359823,0.74841255,0.4791818,0.66505027,0.5476119,0.42067623,0.8692661,0.71925855,0.68526983,0.7608803,0.732443,0.5664328,0.9037373,0.72633463,0.90692395,0.70222247,0.6433156,0.5899693,0.38721207,0.622926,0.41631663,0.78215104,0.56710374,0.76776254,0.6129682,0.7142154,0.5635263,0.8630946,0.83000684,0.9128058,0.42919862,0.822266,0.7422263,0.68997043,0.49495313,0.7764631,0.70751584,0.67744166,0.60603464,0.45507896,0.78447914,0.78133637,0.74402654,0.7744309,0.5552538,0.5483791,0.44468346,0.80066985,0.5539769,0.6451083,0.5749568,0.90243286,0.87047523,0.4946499,0.5102305,0.6400293,0.76246697,0.6595489,0.619886,0.53541005,0.8322736,0.4417139,0.88462687,0.6535243,0.6978302,0.5120851,0.5312623,0.72116303,0.82466245,0.8080333,0.7450542,0.48477295,0.71198773,0.906318,0.580476,0.70111465,0.6307986,0.619965
thumb-md (62).jpg,0.866932,0.50538003,0.6442938,0.55611116,0.7397448,0.88815206,0.65882576,0.6226891,0.6097919,0.55719006,0.88891256,0.70772856,0.6404609,0.6613613,0.72468716,0.71781594,0.57209206,0.6537671,0.8062436,0.40172684,0.61380434,0.58520234,0.6244304,0.87575686,0.7139506,0.46561685,0.85930294,0.6490076,0.3812091,0.94339186,0.5094459,0.6281032,0.92694265,0.9112853,0.61688936,0.99999964,0.6381548,0.6629481,0.46165943,0.5499849,0.8227785,0.93103963,0.53354394,0.6639446,0.93145376,0.68007445,0.88133955,0.8312083,0.41610807,0.4355409,0.7068822,0.7094687,0.56905025,0.32624933,0.650824,0.65854204,0.47723565,0.780307,0.7338797,0.92954415,0.5019776,0.69134897,0.5977801,0.6249419,0.7794173,0.66187024,0.63016164,0.4689954,0.542322,0.5270031,0.6733659,0.91421926,0.6858927,0.7521377,0.46714917,0.71191144,0.61702377,0.47882885,0.9468273,0.9435677,0.7330109,0.54440176,0.9192719,0.601602,0.6495372,0.9520101,0.7136074,0.37974414,0.6688536,0.920318,0.79570585,0.6316713,0.60905176,0.6215369,0.71175677,0.550243,0.9591473,0.46433488,0.5951489,0.75818396,0.7417087,0.87287855,0.5373477,0.8128833,0.6202044,0.6465919,0.75317764,0.8393775,0.45584446,0.61359465,0.6455306,0.87750304,0.94611794,0.8256901,0.48605984,0.7648355,0.6045849,0.76175034,0.9021181,0.6813198,0.66279864,0.9005054,0.8540715,0.5494074,0.57655376,0.66979134,0.86391544,0.9458,0.5142504,0.9555801,0.7934677,0.6182174,0.8045561,0.8465292,0.60720766,0.56689334,0.58079004,0.7173,0.6656818,0.5589607,0.39432538
thumb-md (35).jpg,0.6524134,0.8585341,0.49758253,0.73740685,0.696895,0.77648693,0.82400846,0.50661486,0.49369326,0.7962868,0.6687214,0.61961746,0.57423663,0.904983,0.6914397,0.74986553,0.7369518,0.88314456,0.67381114,0.7262412,0.8044982,0.47733945,0.81030273,0.7407641,0.7749804,0.711971,0.621955,0.8788646,0.71048117,0.60418457,0.49334905,0.5151957,0.6463107,0.6867952,0.73184985,0.6381548,1.0000002,0.6378462,0.63984,0.6731445,0.7184475,0.64452267,0.5515415,0.751634,0.72696847,0.80315304,0.67660004,0.82737345,0.63905406,0.67841387,0.6646999,0.65810233,0.7471162,0.723997,0.76778096,0.56460476,0.55660737,0.7823305,0.640943,0.73649293,0.52019924,0.59167117,0.48909974,0.85672516,0.6124563,0.5506991,0.8779113,0.51514673,0.48599547,0.7524911,0.95406586,0.59947056,0.71557045,0.78254974,0.6072581,0.695337,0.8729236,0.7069091,0.7198365,0.78633326,0.69005436,0.4239919,0.5237075,0.4759016,0.81958723,0.6700791,0.76558584,0.69590175,0.69163764,0.7276103,0.67884195,0.58610255,0.5970406,0.49892223,0.8139492,0.9237438,0.6039974,0.6679404,0.74376655,0.6552649,0.6400305,0.8449593,0.56404173,0.5518551,0.74185604,0.74333364,0.68100214,0.76207435,0.58192086,0.51916254,0.80321705,0.8013291,0.6557472,0.7842686,0.7199221,0.70601606,0.41085085,0.7438437,0.6776579,0.71047866,0.7100985,0.8037035,0.7983593,0.68675804,0.47931135,0.59008557,0.78020996,0.5838333,0.5018002,0.69302833,0.76146543,0.5549096,0.64313805,0.7027532,0.41404098,0.96145487,0.6757396,0.57277167,0.8939711,0.9249048,0.71447873
thumb-md - 2021-09-08T141857.477.jpg,0.5476867,0.64709187,0.61086416,0.766155,0.72693783,0.6173227,0.71543294,0.57975155,0.6162299,0.81277895,0.6314562,0.88475746,0.5790721,0.5445191,0.70334893,0.5647649,0.7798052,0.5025559,0.648823,0.4911517,0.69661796,0.64139336,0.6286222,0.5754295,0.58217096,0.70240355,0.61814284,0.5134572,0.46789554,0.6658741,0.5088771,0.61200565,0.63534456,0.68712467,0.90223163,0.6629481,0.6378462,1.0000001,0.4943086,0.8285364,0.70386827,0.6368733,0.5463624,0.73852336,0.61062133,0.6240887,0.64711845,0.71644336,0.47372454,0.5717462,0.7770035,0.76831234,0.70736367,0.58289593,0.87816864,0.6217795,0.5412403,0.6659502,0.7210337,0.7559016,0.48920152,0.7305625,0.58452946,0.66810876,0.6648961,0.6358045,0.50868964,0.54573417,0.5268571,0.76905614,0.58382225,0.75254965,0.58144796,0.58230484,0.5222058,0.9467838,0.52770627,0.7928013,0.75495666,0.6418367,0.6984948,0.52436846,0.6899271,0.58454955,0.6345661,0.6107711,0.59975934,0.49638078,0.80596673,0.64941233,0.9492513,0.80851984,0.9240005,0.5948399,0.6436869,0.5751155,0.74018013,0.47159693,0.8218218,0.7654866,0.8332344,0.66723603,0.51818776,0.81651694,0.59166384,0.5526658,0.87238145,0.6239833,0.51310945,0.6135647,0.6232118,0.5914848,0.6816461,0.6641832,0.77151465,0.80749524,0.6476608,0.5431782,0.6177788,0.8504416,0.70463663,0.5885781,0.61773115,0.7876131,0.593575,0.9691302,0.66358095,0.7118508,0.5610323,0.60565835,0.59781903,0.805141,0.90088737,0.80167615,0.63317686,0.55493534,0.741487,0.7589475,0.5326171,0.47161633,0.4977739
thumb-md (19).jpg,0.6021436,0.61590254,0.7398035,0.54085153,0.5231398,0.45356148,0.7119719,0.78655124,0.75848365,0.52675015,0.5885582,0.4243057,0.7958137,0.66087496,0.5596037,0.70838726,0.6569246,0.7422642,0.5753703,0.9481851,0.4936191,0.8791753,0.5881012,0.4511886,0.6861376,0.50736994,0.56298923,0.66374755,0.95347506,0.53366774,0.90954745,0.7570527,0.50305796,0.5400248,0.5478771,0.46165943,0.63984,0.4943086,1.0000002,0.4869026,0.47989377,0.5293525,0.89527273,0.35754815,0.45447546,0.7293578,0.526458,0.48214468,0.97842777,0.9454328,0.30081555,0.32726485,0.710778,0.69146585,0.60603887,0.7529132,0.9740889,0.4727809,0.2795048,0.43868595,0.9131154,0.24494562,0.7554531,0.68349725,0.5170433,0.7741155,0.7023691,0.9359719,0.88249433,0.51578784,0.6467985,0.4977008,0.701462,0.70177203,0.9885691,0.43183112,0.6740519,0.5184332,0.512307,0.5144929,0.5281051,0.83015037,0.38914725,0.7710881,0.67185575,0.50409687,0.69925326,0.94514465,0.35666215,0.41077304,0.4950524,0.414643,0.46919551,0.75338364,0.65724975,0.6615886,0.48608235,0.97376317,0.45087647,0.3700245,0.5006565,0.5090235,0.9188152,0.4288318,0.6696629,0.6974995,0.39912033,0.33745018,0.9846591,0.76502043,0.6898302,0.5389251,0.5374018,0.52682656,0.5580423,0.5165262,0.7976928,0.36799783,0.6115985,0.33417246,0.24509121,0.5281893,0.48905596,0.6092516,0.79546446,0.4951835,0.537535,0.4031865,0.9337381,0.43537992,0.662504,0.44086903,0.34379256,0.48380247,0.81728345,0.6864824,0.6247217,0.3723523,0.6635634,0.6899828,0.952113
thumb-md - 2021-09-08T141903.210.jpg,0.6046792,0.68271196,0.36112267,0.69554925,0.56435984,0.50600946,0.68767625,0.3524827,0.37393466,0.8109738,0.6717866,0.89834714,0.39902925,0.6063845,0.6541886,0.63890094,0.76756614,0.5694764,0.7691828,0.49937093,0.66998976,0.56001943,0.79641163,0.45281017,0.646644,0.80415154,0.67216563,0.590729,0.5019525,0.57220995,0.3755984,0.36707455,0.53517365,0.5537032,0.86921865,0.5499849,0.6731445,0.8285364,0.4869026,1.0000002,0.8324485,0.5317562,0.40500718,0.7545398,0.45445466,0.7087484,0.55811024,0.60041815,0.50254935,0.6288755,0.5836457,0.5980094,0.73382854,0.7684246,0.80824596,0.39746562,0.51904935,0.7853104,0.55004466,0.6844859,0.40802854,0.7358192,0.35129675,0.66027087,0.7959594,0.38115346,0.56777275,0.5791825,0.38303462,0.681469,0.6553333,0.7124326,0.6494641,0.66497874,0.52950823,0.78083956,0.58960164,0.7181883,0.6494335,0.59225637,0.63770324,0.33006692,0.6238641,0.3604929,0.7046593,0.48799124,0.6451055,0.54411507,0.63787687,0.4621741,0.7697042,0.96019083,0.9105203,0.3763768,0.73282766,0.65831316,0.63188946,0.4761619,0.677184,0.60972905,0.5203247,0.5492376,0.41427776,0.68379885,0.7093789,0.6442458,0.7443807,0.47161263,0.526654,0.37594628,0.72401536,0.48988318,0.5868539,0.4896561,0.72599405,0.81873333,0.4795593,0.48263758,0.5912115,0.6641739,0.5768296,0.59499824,0.452165,0.9295704,0.37983117,0.7579274,0.6554956,0.65553075,0.52991676,0.45472813,0.6695702,0.9562599,0.7249428,0.79071647,0.47766837,0.6013735,0.7626769,0.6589892,0.57865775,0.56511796,0.53190243
thumb-md (58).jpg,0.8249575,0.61800575,0.44464228,0.62295496,0.6242632,0.72686404,0.67979425,0.4385623,0.44291753,0.73014164,0.8641866,0.8430111,0.48733112,0.7139749,0.65298647,0.7506337,0.66027343,0.6713598,0.881201,0.44400784,0.6832323,0.55726624,0.79690135,0.6785506,0.7158361,0.7108057,0.85027,0.7420491,0.45125914,0.7762596,0.43067008,0.4501623,0.7350849,0.71405715,0.7295723,0.8227785,0.7184475,0.70386827,0.47989377,0.8324485,1.0000002,0.74116313,0.46121466,0.78760517,0.7425966,0.7247199,0.7157092,0.7355122,0.49031934,0.5202893,0.6422173,0.66923046,0.66240317,0.5844281,0.6882768,0.4804655,0.48740634,0.9575065,0.66728103,0.9023531,0.46846992,0.75315577,0.4314416,0.6484713,0.8939018,0.45424446,0.69079804,0.54302216,0.44785,0.59906274,0.73206365,0.8615017,0.7181156,0.78810227,0.4999625,0.6932571,0.6874798,0.5751359,0.8134047,0.843561,0.65645134,0.40554747,0.831392,0.44056675,0.69513524,0.7470081,0.71151423,0.46415195,0.65618396,0.72304153,0.72688115,0.8682262,0.7648174,0.46151558,0.7826525,0.6951487,0.80719465,0.5065288,0.63664556,0.71649885,0.5566523,0.75921226,0.48130557,0.7798249,0.72912836,0.71459264,0.7536377,0.687938,0.49572918,0.45233256,0.7242513,0.71761584,0.77809733,0.62638974,0.59187764,0.84442633,0.49892682,0.71706146,0.7930277,0.6442729,0.65073436,0.8861924,0.6904465,0.81296873,0.43849856,0.6666502,0.8172065,0.88215756,0.5278022,0.7452739,0.7853269,0.8581014,0.7485749,0.8204968,0.5070792,0.6467255,0.67767197,0.6551506,0.6880044,0.6702005,0.46112692
thumb-md (53).jpg,0.92063713,0.4950351,0.6141707,0.5362315,0.73111486,0.88769746,0.6980007,0.611695,0.57293516,0.49675977,0.92024577,0.6651372,0.65850383,0.7010843,0.8205441,0.7788405,0.6106217,0.74988663,0.8407908,0.4638267,0.5418305,0.6137377,0.6899226,0.9111184,0.8216611,0.4240078,0.88341683,0.6418029,0.44905585,0.98890954,0.5343702,0.59313446,0.99363935,0.9810862,0.6129809,0.93103963,0.64452267,0.6368733,0.5293525,0.5317562,0.74116313,1.0000001,0.5400009,0.5364228,0.8765471,0.78280586,0.9712318,0.8003346,0.4738168,0.50689393,0.56708485,0.5840745,0.58887434,0.39186433,0.6924412,0.6431673,0.54115033,0.68085897,0.60099906,0.81462973,0.53846824,0.5563681,0.56338304,0.65884554,0.78593385,0.65480626,0.6726897,0.5185338,0.5483839,0.5104891,0.70690644,0.9067894,0.74079275,0.8237605,0.53116804,0.662079,0.6215917,0.4853044,0.94523996,0.9130106,0.8100711,0.54527867,0.8373386,0.57382447,0.78008294,0.97022176,0.7916198,0.45353794,0.5547523,0.85155255,0.8064301,0.59118086,0.60059047,0.5777451,0.7729539,0.5415796,0.9405094,0.50089437,0.5155522,0.63646907,0.6574441,0.84037256,0.55334234,0.7540009,0.6707553,0.6968893,0.64235103,0.74747866,0.5214423,0.57427853,0.7286773,0.9017246,0.99072146,0.838895,0.49986482,0.6990332,0.60873514,0.6114857,0.974432,0.5575527,0.5065899,0.8323241,0.80286133,0.5714779,0.5548182,0.6596783,0.9258361,0.8596122,0.55968344,0.90535235,0.8879291,0.60069084,0.70169806,0.88177645,0.62148106,0.56978047,0.61993873,0.668775,0.7150857,0.5453026,0.47398588
thumb-md (12).jpg,0.50693786,0.47209305,0.93018067,0.49504897,0.5412267,0.55649143,0.5379085,0.95961815,0.9501774,0.5726639,0.49617323,0.42008355,0.95378876,0.5178917,0.6025493,0.50367916,0.49212083,0.5796433,0.43406975,0.8078168,0.4850091,0.9241464,0.4759703,0.53934854,0.49098232,0.51076,0.45689788,0.51867807,0.8051865,0.5498507,0.99133706,0.9477035,0.52169824,0.5778999,0.44715965,0.53354394,0.5515415,0.5463624,0.89527273,0.40500718,0.46121466,0.5400009,1.0,0.44283104,0.5727386,0.52168196,0.5485067,0.5887305,0.90308404,0.785619,0.4885226,0.49672157,0.57954264,0.4978948,0.4813622,0.93678606,0.9148804,0.4747648,0.44139242,0.5105399,0.9421397,0.3925928,0.95211315,0.4878472,0.39030313,0.9317999,0.55367726,0.9027914,0.98932683,0.47551733,0.5455224,0.51248163,0.48797008,0.52191085,0.9033432,0.45265448,0.49331245,0.44382384,0.5469109,0.56573415,0.5787651,0.97855353,0.43108472,0.95894396,0.4848375,0.568894,0.49329552,0.78897023,0.5197565,0.53163606,0.5433474,0.36165598,0.44501647,0.9482737,0.45925176,0.50371826,0.5128312,0.9306676,0.5639467,0.5247203,0.6584225,0.6013594,0.99021417,0.48925838,0.4209034,0.4645552,0.5464381,0.48979723,0.90561783,0.95448935,0.454134,0.6084592,0.55737007,0.64245653,0.4601833,0.5214595,0.9249916,0.5200983,0.58243346,0.48269573,0.40748754,0.53663915,0.61653185,0.50128376,0.9703729,0.5436934,0.5260164,0.42628312,0.94317204,0.5563398,0.5020128,0.37552112,0.45806202,0.48755965,0.92631656,0.5305024,0.45578107,0.48231697,0.51987463,0.5487406,0.7795749
thumb-md - 2021-09-08T141901.004.jpg,0.5346987,0.7477027,0.48392242,0.81643623,0.48122,0.7117024,0.5756129,0.4589051,0.49817312,0.8979913,0.5803333,0.82323706,0.51603186,0.66084284,0.5381448,0.5164387,0.6629392,0.55451846,0.5946392,0.4209351,0.90013367,0.43424278,0.5798564,0.6446972,0.51771075,0.61648965,0.56816614,0.6289835,0.40845773,0.53763086,0.37278396,0.50142926,0.53060603,0.5748534,0.75870174,0.6639446,0.751634,0.73852336,0.35754815,0.7545398,0.78760517,0.5364228,0.44283104,1.0000001,0.6675106,0.5307271,0.53249294,0.7432818,0.3965354,0.4486987,0.8850789,0.897753,0.71064556,0.46451926,0.69106287,0.53495777,0.38336682,0.8405977,0.8898639,0.801489,0.31051683,0.798699,0.48479655,0.6017679,0.61309314,0.47199002,0.5982519,0.4179725,0.400923,0.8007852,0.75607574,0.59183455,0.5200676,0.5571741,0.3937984,0.7421594,0.62829083,0.7483141,0.66527575,0.76079094,0.543795,0.38357148,0.60631365,0.47058725,0.5607918,0.59920675,0.5255256,0.41161218,0.89931285,0.6869416,0.7167381,0.748256,0.74937737,0.51218426,0.6255423,0.6790342,0.60190994,0.43440035,0.88968146,0.895616,0.6700096,0.7448993,0.44879264,0.74926054,0.52126443,0.504227,0.87760323,0.8078179,0.37863716,0.49892294,0.5396912,0.66945595,0.58051467,0.67615646,0.7424631,0.8871339,0.41050914,0.86768997,0.56201446,0.88211524,0.9261664,0.7410537,0.7176523,0.6615083,0.47512528,0.69955015,0.62385356,0.6761631,0.39021495,0.6718298,0.54832745,0.707794,0.8290893,0.6683147,0.38634944,0.6599451,0.64505386,0.5707731,0.6431577,0.6505106,0.3945547
thumb-md (45).jpg,0.75215733,0.5110778,0.68268365,0.5193165,0.7997665,0.9645358,0.6279471,0.66643643,0.64614266,0.59584737,0.75841624,0.5695507,0.693294,0.6991243,0.7737004,0.6123686,0.4749849,0.6899068,0.6538758,0.4295939,0.6174155,0.51158726,0.65010583,0.9442976,0.63640285,0.5292534,0.6994131,0.68074447,0.40149897,0.8583767,0.52832174,0.6739143,0.88686275,0.8896252,0.5271856,0.93145376,0.72696847,0.61062133,0.45447546,0.45445466,0.7425966,0.8765471,0.5727386,0.6675106,0.99999976,0.61153966,0.8750478,0.93263817,0.42481488,0.394484,0.7447345,0.72275126,0.49841556,0.3418588,0.57636064,0.7133112,0.43015194,0.75529623,0.7362575,0.90002364,0.52542305,0.6992568,0.6444559,0.60368466,0.6012388,0.70870316,0.6712363,0.4050688,0.55604684,0.51438713,0.724772,0.81260026,0.56098616,0.6713889,0.43723106,0.66850835,0.63100016,0.43567687,0.9062002,0.944308,0.7901162,0.56060356,0.79476124,0.6366905,0.61251515,0.93958,0.6222132,0.37985173,0.700414,0.9827876,0.7419385,0.47869945,0.47868738,0.6577925,0.631727,0.60066634,0.8483971,0.49412438,0.644091,0.75573504,0.7845788,0.96822006,0.56429744,0.6901625,0.49589175,0.5417757,0.7457207,0.9299121,0.42125183,0.6627115,0.5685748,0.9572324,0.8824705,0.92657083,0.43303734,0.67473257,0.56073976,0.83771473,0.8381747,0.7184437,0.72081953,0.9051515,0.9682108,0.47179827,0.6052662,0.595639,0.87175727,0.81505656,0.47118327,0.98789304,0.70374435,0.457133,0.7525476,0.7862482,0.56151533,0.63851255,0.44088316,0.74275076,0.70283407,0.64018077,0.39757714
thumb-md (86).jpg,0.8565424,0.7904589,0.43818304,0.6962646,0.6223565,0.660578,0.91505975,0.46001574,0.43082094,0.61434436,0.86936253,0.6835272,0.5278751,0.88870746,0.6891107,0.967038,0.86142635,0.92073745,0.8916706,0.7575196,0.6678814,0.61007124,0.7986623,0.6716479,0.9845606,0.5422188,0.8488294,0.8457443,0.756096,0.7731864,0.5211959,0.44123754,0.7639412,0.7631694,0.77254707,0.68007445,0.80315304,0.6240887,0.7293578,0.7087484,0.7247199,0.78280586,0.52168196,0.5307271,0.61153966,1.0000002,0.7677424,0.6252138,0.6860037,0.8119209,0.41977346,0.46089503,0.8297219,0.77652735,0.84514916,0.48296642,0.7016524,0.6992159,0.45165822,0.6655043,0.5400711,0.42207626,0.41822264,0.90731573,0.8338555,0.49795488,0.88140297,0.65173364,0.49653652,0.6882005,0.8644092,0.75057864,0.96040434,0.9713428,0.7279414,0.6436934,0.866539,0.69275254,0.758945,0.75369436,0.662662,0.44301715,0.62867635,0.42966542,0.9748991,0.71542937,0.9786531,0.7768569,0.47120446,0.5839132,0.70166147,0.6753854,0.6844695,0.42756662,0.9702929,0.82143784,0.7386241,0.6662334,0.5297586,0.497292,0.487951,0.6744314,0.5606764,0.6319995,0.955407,0.95599294,0.53484267,0.5137838,0.710181,0.43337044,0.986958,0.7020158,0.7834999,0.6380169,0.73659813,0.69838214,0.4985586,0.46414003,0.8399027,0.46759406,0.4016815,0.7325822,0.59125423,0.77483577,0.44649825,0.6247925,0.8060762,0.6844807,0.62022513,0.62318796,0.961379,0.6901742,0.56081915,0.7784573,0.51719815,0.8273816,0.8621127,0.48743585,0.89031065,0.7904448,0.7983292
